epoch,loss
1,0.45315486117839815
2,0.40489549038887024
3,0.37088672003269196
4,0.3380334717154503
5,0.30192165424823764
6,0.2611743594515324
7,0.21481314895033837
8,0.16417307205975057
9,0.12472765228047968
10,0.10060321984529495
11,0.0827589780447632
12,0.07309365378517657
13,0.06720497687768191
14,0.058617472247797994
15,0.05455257720895112
16,0.05033617411114275
17,0.048736300155166536
18,0.042962483911905436
19,0.04340898763732053
20,0.03967151944431476
21,0.03766175382326823
22,0.03596159989131614
23,0.03457524571955204
24,0.03250730217278935
25,0.031276891216873194
26,0.03085165252078092
27,0.028838807753073053
28,0.027152308634261137
29,0.026991061989757
30,0.026775973063828423
31,0.02455633093970595
32,0.025441110624726863
33,0.02525390745765064
34,0.024178229210004794
35,0.021063108619693665
36,0.02291173295628978
37,0.020903391814109638
38,0.020707431597278773
39,0.020562727753242943
40,0.01903336130755488
41,0.019298134308521404
42,0.019590844663981116
43,0.018370134760284564
44,0.018683458707532553
45,0.018304457632763078
46,0.017400755772934935
47,0.017494169896410023
48,0.01717531281871561
49,0.01677662757345941
50,0.0170128399477512
51,0.01623303219502457
52,0.015126619356321026
53,0.015576992807585338
54,0.015196883504129365
55,0.016074375448492793
56,0.014194943851925492
57,0.014133663068098394
58,0.014808020613088084
59,0.01409496539477812
60,0.01380396754258065
61,0.013945945224742464
62,0.013660679150891229
63,0.01359902874728381
64,0.013187064600479644
65,0.013553870300876878
66,0.013382863606518258
67,0.012882900366204122
68,0.01207827054964553
69,0.012905249963577663
70,0.011853759963840494
71,0.012332068517732515
72,0.012533763998488866
73,0.012270866403705878
74,0.01116562822198982
75,0.011640963922740265
76,0.011330252033631114
77,0.010848459859325121
78,0.011214183731313424
79,0.010680945537396002
80,0.011085600041113503
81,0.01104514677689409
82,0.010382605026399525
83,0.010516937466289747
84,0.01094729685983868
85,0.010297221633440204
86,0.010145536229638747
87,0.010113151120571784
88,0.01076833842004762
89,0.01011567056781314
90,0.010335856000091008
91,0.009706889647011122
92,0.00950713605689618
93,0.01017497898291018
94,0.009990796783048645
95,0.009076018618382295
96,0.009669610980299531
97,0.010034654103472276
98,0.009820851796948155
99,0.008930049811349964
100,0.009425098891576453
